layer,feature,label,f1_score,accuracy,precision,recall,cluster
16,221,Temporal and financial trends over extended periods,0.587,0.523,0.88,0.44,9
16,191,"Financial market events, economic indicators, and geopolitical risks",0.721,0.631,0.861,0.62,2
16,15,End of sentences in financial and stock market updates.,0.353,0.56,0.5,0.273,2
16,281,"Geographic and economic entities (e.g., US, Europe, India)",0.328,0.369,1.0,0.196,1
16,64,"Actions, intentions, and strategic moves in business and politics",0.635,0.523,0.771,0.54,3
16,339,"Connects related financial or business ideas, indicating continuation or addition.",0.645,0.492,0.698,0.6,2
16,346,Financial metrics and projections in business contexts,0.727,0.631,0.842,0.64,7
16,249,Temporal indicators and sequences of events,0.545,0.462,0.778,0.42,5
16,231,Financial metrics and company performance indicators,0.779,0.677,0.841,0.725,10
16,207,Financial performance and growth metrics in business contexts,0.719,0.615,0.821,0.64,11
16,380,Financial events and market activities,0.769,0.631,0.741,0.8,4
16,134,"Stock market and financial terms, often related to specific companies or indices.",0.785,0.646,0.737,0.84,10
16,307,"Financial and business-related terms, focusing on investments, technology, and economic growth.",0.849,0.754,0.818,0.882,9
16,171,Financial metrics and growth indicators in company performance,0.528,0.477,0.864,0.38,0
16,337,Punctuation for separating clauses or items in financial contexts,0.241,0.323,0.875,0.14,0
16,179,Uncertainty and speculative transitions in financial contexts,0.472,0.415,0.773,0.34,2
16,261,Introduces or transitions to specific details or entities,0.575,0.477,0.767,0.46,9
16,240,Financial acronyms and stock symbols,0.563,0.523,0.952,0.4,0
16,392,Economic and financial terms related to business performance and market activities,0.796,0.662,0.741,0.86,9
16,260,Temporal or conditional specificity in financial contexts,0.659,0.523,0.75,0.588,4
16,65,Introduces specific information or conditions in clauses,0.271,0.338,0.889,0.16,4
16,178,"Financial and business terms related to tech and AI investments, expansions, and partnerships.",0.624,0.462,0.674,0.58,5
16,148,"Financial and business terms, focusing on investments and market activities.",0.796,0.677,0.774,0.82,9
16,394,"Financial services, stock performance, and company actions",0.804,0.692,0.788,0.82,5
16,315,"Financial transactions, market movements, and corporate actions",0.8,0.677,0.764,0.84,2
16,162,"Financial and business-related terms, including company names and market activities.",0.98,0.96,1.0,0.96,11
16,5,"Financial transactions, investments, and business activities",0.752,0.615,0.745,0.76,7
16,343,Commas separating clauses in financial and business contexts,0.3,0.354,1.0,0.176,10
16,180,"Financial market analysis, focusing on technical levels and economic indicators.",0.556,0.508,0.909,0.4,10
16,193,End of sentence in financial contexts,0.556,0.68,0.714,0.455,1
16,9,Financial and market-related terms and transitions in economic conditions.,0.807,0.677,0.746,0.88,9
16,235,Financial indicators and market trends,0.788,0.662,0.759,0.82,7
16,6,"Financial metrics, market performance, and economic indicators",0.722,0.585,0.745,0.7,6
16,198,"Financial and business-related terms, including company names and economic indicators.",0.839,0.723,0.758,0.94,5
16,185,Financial metrics and trend indicators in business contexts,0.739,0.631,0.81,0.68,10
16,329,"Significant financial events or outcomes, often negative",0.56,0.492,0.84,0.42,1
16,13,End of sentence in financial contexts,0.353,0.56,0.5,0.273,7
16,387,Financial and business performance metrics and analysis,0.795,0.66,1.0,0.66,6
16,69,Punctuation marks and delimiters for titles or quotes,0.622,0.569,0.958,0.46,9
16,364,End of sentences in financial and stock-related contexts.,0.545,0.6,0.5,0.6,9
16,273,Temporal or causal relationship in financial contexts,0.575,0.431,0.676,0.5,7
16,158,Financial and stock market-related terms and concepts,0.78,0.662,0.78,0.78,5
16,375,Names of individuals and companies in financial contexts,0.822,0.754,0.925,0.74,1
16,38,"Financial terms and stock market discussions, focusing on Spotify and interest rates.",0.694,0.667,0.895,0.567,11
16,272,Financial and business entity names and stock-related terms,0.82,0.723,0.82,0.82,9
16,323,Financial transactions and market predictions,0.752,0.615,0.76,0.745,3
16,108,Numerical ranges and financial metrics in financial contexts,0.627,0.523,0.788,0.52,7
16,356,Verbs and auxiliary verbs describing states or actions,0.355,0.385,0.917,0.22,2
16,1,Continuation or reference to a specific article or content,0.674,0.554,0.769,0.6,3
16,127,Financial transitions and value changes,0.725,0.615,0.805,0.66,3
16,141,"Financial sentiment, focusing on bullish and steady market trends.",0.486,0.446,0.85,0.34,10
16,164,"Parentheses enclosing company names, stock symbols, and financial figures",0.478,0.462,0.941,0.32,9
16,34,Financial performance and market trends in business contexts,0.876,0.78,1.0,0.78,9
